"TOA5","Node_B","CR1000","55588","CR1000.Std.25","CPU:Ryan_Test_20130619_ModifiedByGess.CR1","53358","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2014-03-28 00:00:00",76,12.71
"2014-03-29 00:00:00",77,12.72
"2014-03-30 00:00:00",78,12.73
"2014-03-31 00:00:00",79,12.72
"2014-04-01 00:00:00",80,12.73
"2014-04-02 00:00:00",81,12.75
"2014-04-03 00:00:00",82,12.77
"2014-04-04 00:00:00",83,12.76
"2014-04-05 00:00:00",84,12.75
"2014-04-06 00:00:00",85,12.71
"2014-04-07 00:00:00",86,12.72
"2014-04-08 00:00:00",87,12.75
"2014-04-09 00:00:00",88,12.73
"2014-04-10 00:00:00",89,12.75
"2014-04-11 00:00:00",90,12.75
"2014-04-12 00:00:00",91,12.78
"2014-04-13 00:00:00",92,12.79
"2014-04-14 00:00:00",93,12.8
"2014-04-15 00:00:00",94,12.83
"2014-04-16 00:00:00",95,12.86
"2014-04-17 00:00:00",96,12.85
"2014-04-18 00:00:00",97,12.85
"2014-04-19 00:00:00",98,12.85
"2014-04-20 00:00:00",99,12.85
"2014-04-21 00:00:00",100,12.88
"2014-04-22 00:00:00",101,12.87
"2014-04-23 00:00:00",102,12.87
"2014-04-24 00:00:00",103,12.89
"2014-04-25 00:00:00",104,12.88
